,HR,time
202,82.88,2021-12-17 17:36:21
203,81.67,2021-12-17 17:36:22
204,80.88,2021-12-17 17:36:23
205,80.12,2021-12-17 17:36:24
206,79.4,2021-12-17 17:36:25
207,78.58,2021-12-17 17:36:26
208,77.77,2021-12-17 17:36:27
209,76.87,2021-12-17 17:36:28
210,75.97,2021-12-17 17:36:29
211,75.08,2021-12-17 17:36:30
212,74.25,2021-12-17 17:36:31
213,73.4,2021-12-17 17:36:32
214,72.57,2021-12-17 17:36:33
215,71.78,2021-12-17 17:36:34
216,70.92,2021-12-17 17:36:35
217,70.0,2021-12-17 17:36:36
218,69.07,2021-12-17 17:36:37
219,68.12,2021-12-17 17:36:38
220,67.2,2021-12-17 17:36:39
221,66.3,2021-12-17 17:36:40
222,65.4,2021-12-17 17:36:41
223,64.52,2021-12-17 17:36:42
224,63.58,2021-12-17 17:36:43
225,63.65,2021-12-17 17:36:44
226,63.72,2021-12-17 17:36:45
227,63.8,2021-12-17 17:36:46
228,63.88,2021-12-17 17:36:47
229,63.95,2021-12-17 17:36:48
230,63.98,2021-12-17 17:36:49
231,63.98,2021-12-17 17:36:50
232,64.0,2021-12-17 17:36:51
233,64.02,2021-12-17 17:36:52
234,64.07,2021-12-17 17:36:53
235,64.13,2021-12-17 17:36:54
236,64.2,2021-12-17 17:36:55
237,64.27,2021-12-17 17:36:56
238,64.35,2021-12-17 17:36:57
239,64.43,2021-12-17 17:36:58
240,64.53,2021-12-17 17:36:59
241,64.62,2021-12-17 17:37:00
242,64.72,2021-12-17 17:37:01
243,64.75,2021-12-17 17:37:02
244,64.78,2021-12-17 17:37:03
245,64.78,2021-12-17 17:37:04
246,64.78,2021-12-17 17:37:05
247,64.8,2021-12-17 17:37:06
248,64.77,2021-12-17 17:37:07
249,64.77,2021-12-17 17:37:08
250,64.77,2021-12-17 17:37:09
251,64.78,2021-12-17 17:37:10
252,64.78,2021-12-17 17:37:11
253,64.77,2021-12-17 17:37:12
254,64.78,2021-12-17 17:37:13
255,64.78,2021-12-17 17:37:14
256,64.77,2021-12-17 17:37:15
257,64.75,2021-12-17 17:37:16
258,64.73,2021-12-17 17:37:17
259,64.68,2021-12-17 17:37:18
260,64.62,2021-12-17 17:37:19
261,64.63,2021-12-17 17:37:20
262,64.63,2021-12-17 17:37:21
263,64.68,2021-12-17 17:37:22
264,64.73,2021-12-17 17:37:23
265,64.77,2021-12-17 17:37:24
266,64.83,2021-12-17 17:37:25
267,64.88,2021-12-17 17:37:26
268,64.93,2021-12-17 17:37:27
269,65.0,2021-12-17 17:37:28
270,65.03,2021-12-17 17:37:29
271,65.05,2021-12-17 17:37:30
272,65.05,2021-12-17 17:37:31
273,65.03,2021-12-17 17:37:32
274,65.0,2021-12-17 17:37:33
275,64.93,2021-12-17 17:37:34
276,64.85,2021-12-17 17:37:35
277,64.8,2021-12-17 17:37:36
278,64.75,2021-12-17 17:37:37
279,64.77,2021-12-17 17:37:38
280,64.75,2021-12-17 17:37:39
281,64.77,2021-12-17 17:37:40
282,64.77,2021-12-17 17:37:41
283,64.75,2021-12-17 17:37:42
284,64.78,2021-12-17 17:37:43
285,64.92,2021-12-17 17:37:44
286,65.07,2021-12-17 17:37:45
287,65.27,2021-12-17 17:37:46
288,65.47,2021-12-17 17:37:47
289,65.67,2021-12-17 17:37:48
290,65.9,2021-12-17 17:37:49
291,66.13,2021-12-17 17:37:50
292,66.38,2021-12-17 17:37:51
293,66.63,2021-12-17 17:37:52
294,66.82,2021-12-17 17:37:53
295,66.95,2021-12-17 17:37:54
296,67.05,2021-12-17 17:37:55
297,67.12,2021-12-17 17:37:56
298,67.15,2021-12-17 17:37:57
299,67.17,2021-12-17 17:37:58
300,67.17,2021-12-17 17:37:59
301,67.25,2021-12-17 17:38:00
302,67.3,2021-12-17 17:38:01
