,BVP,time
103,180.55,2021-12-17 17:38:59.781250
104,201.36,2021-12-17 17:38:59.796875
105,220.89,2021-12-17 17:38:59.812500
106,236.85,2021-12-17 17:38:59.828125
107,247.5,2021-12-17 17:38:59.843750
108,252.22,2021-12-17 17:38:59.859375
109,251.52,2021-12-17 17:38:59.875000
110,246.92,2021-12-17 17:38:59.890625
111,240.25,2021-12-17 17:38:59.906250
112,232.74,2021-12-17 17:38:59.921875
113,224.54,2021-12-17 17:38:59.937500
114,213.95,2021-12-17 17:38:59.953125
115,197.68,2021-12-17 17:38:59.968750
116,171.38,2021-12-17 17:38:59.984375
117,131.19,2021-12-17 17:39:00.000000
118,75.58,2021-12-17 17:39:00.015625
119,6.57,2021-12-17 17:39:00.031250
120,-70.28,2021-12-17 17:39:00.046875
121,-147.45,2021-12-17 17:39:00.062500
122,-217.05,2021-12-17 17:39:00.078125
123,-271.25,2021-12-17 17:39:00.093750
124,-301.53,2021-12-17 17:39:00.109375
125,-302.19,2021-12-17 17:39:00.125000
126,-273.4,2021-12-17 17:39:00.140625
127,-221.68,2021-12-17 17:39:00.156250
128,-157.07,2021-12-17 17:39:00.171875
129,-89.32,2021-12-17 17:39:00.187500
130,-27.57,2021-12-17 17:39:00.203125
131,25.47,2021-12-17 17:39:00.218750
132,68.45,2021-12-17 17:39:00.234375
133,100.24,2021-12-17 17:39:00.250000
134,119.87,2021-12-17 17:39:00.265625
135,127.14,2021-12-17 17:39:00.281250
136,123.23,2021-12-17 17:39:00.296875
137,110.07,2021-12-17 17:39:00.312500
138,90.8,2021-12-17 17:39:00.328125
139,68.39,2021-12-17 17:39:00.343750
140,45.21,2021-12-17 17:39:00.359375
141,21.87,2021-12-17 17:39:00.375000
142,-2.02,2021-12-17 17:39:00.390625
143,-27.36,2021-12-17 17:39:00.406250
144,-54.74,2021-12-17 17:39:00.421875
145,-83.74,2021-12-17 17:39:00.437500
146,-112.93,2021-12-17 17:39:00.453125
147,-140.27,2021-12-17 17:39:00.468750
148,-164.17,2021-12-17 17:39:00.484375
149,-183.88,2021-12-17 17:39:00.500000
150,-200.11,2021-12-17 17:39:00.515625
151,-214.61,2021-12-17 17:39:00.531250
152,-229.79,2021-12-17 17:39:00.546875
153,-248.15,2021-12-17 17:39:00.562500
154,-271.55,2021-12-17 17:39:00.578125
155,-300.27,2021-12-17 17:39:00.593750
156,-332.14,2021-12-17 17:39:00.609375
157,-362.7,2021-12-17 17:39:00.625000
158,-385.91,2021-12-17 17:39:00.640625
159,-396.4,2021-12-17 17:39:00.656250
160,-391.41,2021-12-17 17:39:00.671875
161,-372.09,2021-12-17 17:39:00.687500
162,-343.35,2021-12-17 17:39:00.703125
163,-311.83,2021-12-17 17:39:00.718750
164,-283.61,2021-12-17 17:39:00.734375
165,-262.22,2021-12-17 17:39:00.750000
166,-248.41,2021-12-17 17:39:00.765625
167,-240.97,2021-12-17 17:39:00.781250
168,-237.97,2021-12-17 17:39:00.796875
169,-237.24,2021-12-17 17:39:00.812500
170,-236.47,2021-12-17 17:39:00.828125
171,-233.3,2021-12-17 17:39:00.843750
172,-225.77,2021-12-17 17:39:00.859375
173,-213.39,2021-12-17 17:39:00.875000
174,-197.57,2021-12-17 17:39:00.890625
175,-181.28,2021-12-17 17:39:00.906250
176,-167.37,2021-12-17 17:39:00.921875
177,-157.01,2021-12-17 17:39:00.937500
178,-148.9,2021-12-17 17:39:00.953125
179,-139.74,2021-12-17 17:39:00.968750
180,-125.96,2021-12-17 17:39:00.984375
181,-105.34,2021-12-17 17:39:01.000000
182,-77.84,2021-12-17 17:39:01.015625
183,-45.09,2021-12-17 17:39:01.031250
184,-9.4,2021-12-17 17:39:01.046875
185,27.36,2021-12-17 17:39:01.062500
186,63.72,2021-12-17 17:39:01.078125
187,98.42,2021-12-17 17:39:01.093750
188,130.28,2021-12-17 17:39:01.109375
189,158.34,2021-12-17 17:39:01.125000
190,182.2,2021-12-17 17:39:01.140625
191,202.38,2021-12-17 17:39:01.156250
192,220.37,2021-12-17 17:39:01.171875
193,238.31,2021-12-17 17:39:01.187500
194,258.42,2021-12-17 17:39:01.203125
195,281.52,2021-12-17 17:39:01.218750
196,306.51,2021-12-17 17:39:01.234375
197,330.55,2021-12-17 17:39:01.250000
198,350.15,2021-12-17 17:39:01.265625
199,362.37,2021-12-17 17:39:01.281250
200,366.06,2021-12-17 17:39:01.296875
201,362.24,2021-12-17 17:39:01.312500
202,353.78,2021-12-17 17:39:01.328125
203,344.26,2021-12-17 17:39:01.343750
204,335.79,2021-12-17 17:39:01.359375
205,328.81,2021-12-17 17:39:01.375000
206,323.01,2021-12-17 17:39:01.390625
207,318.69,2021-12-17 17:39:01.406250
208,317.28,2021-12-17 17:39:01.421875
209,320.6,2021-12-17 17:39:01.437500
210,329.29,2021-12-17 17:39:01.453125
211,341.46,2021-12-17 17:39:01.468750
212,352.22,2021-12-17 17:39:01.484375
213,353.53,2021-12-17 17:39:01.500000
214,337.24,2021-12-17 17:39:01.515625
215,298.51,2021-12-17 17:39:01.531250
216,238.12,2021-12-17 17:39:01.546875
217,162.35,2021-12-17 17:39:01.562500
218,80.55,2021-12-17 17:39:01.578125
219,2.12,2021-12-17 17:39:01.593750
220,-70.23,2021-12-17 17:39:01.609375
221,-132.04,2021-12-17 17:39:01.625000
222,-179.26,2021-12-17 17:39:01.640625
223,-209.17,2021-12-17 17:39:01.656250
224,-221.3,2021-12-17 17:39:01.671875
225,-216.95,2021-12-17 17:39:01.687500
226,-198.42,2021-12-17 17:39:01.703125
227,-168.9,2021-12-17 17:39:01.718750
228,-132.38,2021-12-17 17:39:01.734375
229,-92.07,2021-12-17 17:39:01.750000
230,-51.31,2021-12-17 17:39:01.765625
231,-14.82,2021-12-17 17:39:01.781250
232,12.65,2021-12-17 17:39:01.796875
233,27.28,2021-12-17 17:39:01.812500
234,26.85,2021-12-17 17:39:01.828125
235,10.59,2021-12-17 17:39:01.843750
236,-20.75,2021-12-17 17:39:01.859375
237,-67.97,2021-12-17 17:39:01.875000
238,-123.64,2021-12-17 17:39:01.890625
239,-175.26,2021-12-17 17:39:01.906250
240,-210.78,2021-12-17 17:39:01.921875
241,-223.56,2021-12-17 17:39:01.937500
242,-215.03,2021-12-17 17:39:01.953125
243,-193.32,2021-12-17 17:39:01.968750
244,-169.11,2021-12-17 17:39:01.984375
245,-151.06,2021-12-17 17:39:02.000000
246,-142.77,2021-12-17 17:39:02.015625
247,-142.33,2021-12-17 17:39:02.031250
248,-145.92,2021-12-17 17:39:02.046875
249,-151.0,2021-12-17 17:39:02.062500
250,-157.03,2021-12-17 17:39:02.078125
251,-164.67,2021-12-17 17:39:02.093750
252,-174.18,2021-12-17 17:39:02.109375
253,-184.32,2021-12-17 17:39:02.125000
254,-192.66,2021-12-17 17:39:02.140625
255,-197.68,2021-12-17 17:39:02.156250
256,-196.93,2021-12-17 17:39:02.171875
257,-189.8,2021-12-17 17:39:02.187500
258,-177.71,2021-12-17 17:39:02.203125
259,-162.81,2021-12-17 17:39:02.218750
260,-147.01,2021-12-17 17:39:02.234375
261,-131.49,2021-12-17 17:39:02.250000
262,-116.64,2021-12-17 17:39:02.265625
263,-102.5,2021-12-17 17:39:02.281250
264,-88.98,2021-12-17 17:39:02.296875
265,-75.62,2021-12-17 17:39:02.312500
266,-62.37,2021-12-17 17:39:02.328125
267,-49.78,2021-12-17 17:39:02.343750
268,-37.66,2021-12-17 17:39:02.359375
269,-25.74,2021-12-17 17:39:02.375000
270,-13.72,2021-12-17 17:39:02.390625
271,-1.4,2021-12-17 17:39:02.406250
272,11.58,2021-12-17 17:39:02.421875
273,26.27,2021-12-17 17:39:02.437500
274,42.42,2021-12-17 17:39:02.453125
275,60.75,2021-12-17 17:39:02.468750
276,81.7,2021-12-17 17:39:02.484375
277,106.76,2021-12-17 17:39:02.500000
278,136.36,2021-12-17 17:39:02.515625
279,169.37,2021-12-17 17:39:02.531250
280,203.34,2021-12-17 17:39:02.546875
281,235.25,2021-12-17 17:39:02.562500
282,262.81,2021-12-17 17:39:02.578125
283,285.3,2021-12-17 17:39:02.593750
284,303.46,2021-12-17 17:39:02.609375
285,318.19,2021-12-17 17:39:02.625000
286,332.9,2021-12-17 17:39:02.640625
287,351.0,2021-12-17 17:39:02.656250
288,374.93,2021-12-17 17:39:02.671875
289,405.03,2021-12-17 17:39:02.687500
290,438.84,2021-12-17 17:39:02.703125
291,471.21,2021-12-17 17:39:02.718750
292,495.5,2021-12-17 17:39:02.734375
293,505.75,2021-12-17 17:39:02.750000
294,487.44,2021-12-17 17:39:02.765625
295,435.73,2021-12-17 17:39:02.781250
296,356.62,2021-12-17 17:39:02.796875
297,265.78,2021-12-17 17:39:02.812500
298,181.32,2021-12-17 17:39:02.828125
299,115.56,2021-12-17 17:39:02.843750
300,71.22,2021-12-17 17:39:02.859375
301,43.77,2021-12-17 17:39:02.875000
302,29.33,2021-12-17 17:39:02.890625
303,21.21,2021-12-17 17:39:02.906250
304,16.86,2021-12-17 17:39:02.921875
305,14.84,2021-12-17 17:39:02.937500
306,12.95,2021-12-17 17:39:02.953125
307,7.64,2021-12-17 17:39:02.968750
308,-4.73,2021-12-17 17:39:02.984375
309,-26.34,2021-12-17 17:39:03.000000
310,-56.87,2021-12-17 17:39:03.015625
311,-92.8,2021-12-17 17:39:03.031250
312,-129.83,2021-12-17 17:39:03.046875
313,-162.44,2021-12-17 17:39:03.062500
314,-186.78,2021-12-17 17:39:03.078125
315,-201.33,2021-12-17 17:39:03.093750
316,-206.4,2021-12-17 17:39:03.109375
317,-203.03,2021-12-17 17:39:03.125000
318,-191.9,2021-12-17 17:39:03.140625
319,-172.95,2021-12-17 17:39:03.156250
320,-146.02,2021-12-17 17:39:03.171875
321,-112.56,2021-12-17 17:39:03.187500
322,-74.62,2021-12-17 17:39:03.203125
323,-36.1,2021-12-17 17:39:03.218750
324,-2.02,2021-12-17 17:39:03.234375
325,22.7,2021-12-17 17:39:03.250000
326,34.55,2021-12-17 17:39:03.265625
327,32.14,2021-12-17 17:39:03.281250
328,16.26,2021-12-17 17:39:03.296875
329,-10.95,2021-12-17 17:39:03.312500
330,-47.48,2021-12-17 17:39:03.328125
331,-91.13,2021-12-17 17:39:03.343750
332,-140.49,2021-12-17 17:39:03.359375
333,-195.05,2021-12-17 17:39:03.375000
334,-255.07,2021-12-17 17:39:03.390625
335,-320.92,2021-12-17 17:39:03.406250
336,-391.76,2021-12-17 17:39:03.421875
337,-464.28,2021-12-17 17:39:03.437500
338,-532.04,2021-12-17 17:39:03.453125
339,-586.71,2021-12-17 17:39:03.468750
340,-619.91,2021-12-17 17:39:03.484375
341,-626.47,2021-12-17 17:39:03.500000
342,-606.64,2021-12-17 17:39:03.515625
343,-565.98,2021-12-17 17:39:03.531250
344,-513.21,2021-12-17 17:39:03.546875
345,-456.78,2021-12-17 17:39:03.562500
346,-402.18,2021-12-17 17:39:03.578125
347,-351.17,2021-12-17 17:39:03.593750
348,-303.11,2021-12-17 17:39:03.609375
349,-256.74,2021-12-17 17:39:03.625000
350,-211.6,2021-12-17 17:39:03.640625
351,-168.08,2021-12-17 17:39:03.656250
352,-126.52,2021-12-17 17:39:03.671875
353,-86.24,2021-12-17 17:39:03.687500
354,-45.58,2021-12-17 17:39:03.703125
355,-2.88,2021-12-17 17:39:03.718750
356,42.43,2021-12-17 17:39:03.734375
357,89.26,2021-12-17 17:39:03.750000
358,135.45,2021-12-17 17:39:03.765625
359,178.45,2021-12-17 17:39:03.781250
360,216.45,2021-12-17 17:39:03.796875
361,248.62,2021-12-17 17:39:03.812500
362,274.94,2021-12-17 17:39:03.828125
363,295.57,2021-12-17 17:39:03.843750
364,310.31,2021-12-17 17:39:03.859375
365,318.46,2021-12-17 17:39:03.875000
366,318.82,2021-12-17 17:39:03.890625
367,310.1,2021-12-17 17:39:03.906250
368,291.37,2021-12-17 17:39:03.921875
369,262.6,2021-12-17 17:39:03.937500
370,225.22,2021-12-17 17:39:03.953125
371,182.38,2021-12-17 17:39:03.968750
372,138.72,2021-12-17 17:39:03.984375
373,99.59,2021-12-17 17:39:04.000000
374,69.74,2021-12-17 17:39:04.015625
375,51.73,2021-12-17 17:39:04.031250
376,44.68,2021-12-17 17:39:04.046875
377,44.29,2021-12-17 17:39:04.062500
378,44.19,2021-12-17 17:39:04.078125
379,38.57,2021-12-17 17:39:04.093750
380,24.94,2021-12-17 17:39:04.109375
381,5.59,2021-12-17 17:39:04.125000
382,-13.04,2021-12-17 17:39:04.140625
383,-23.36,2021-12-17 17:39:04.156250
384,-20.17,2021-12-17 17:39:04.171875
385,-3.49,2021-12-17 17:39:04.187500
386,21.13,2021-12-17 17:39:04.203125
387,44.61,2021-12-17 17:39:04.218750
388,57.88,2021-12-17 17:39:04.234375
389,54.96,2021-12-17 17:39:04.250000
390,34.5,2021-12-17 17:39:04.265625
391,-0.65,2021-12-17 17:39:04.281250
392,-44.9,2021-12-17 17:39:04.296875
393,-91.53,2021-12-17 17:39:04.312500
394,-133.74,2021-12-17 17:39:04.328125
395,-165.28,2021-12-17 17:39:04.343750
396,-181.11,2021-12-17 17:39:04.359375
397,-178.24,2021-12-17 17:39:04.375000
398,-156.48,2021-12-17 17:39:04.390625
399,-118.56,2021-12-17 17:39:04.406250
400,-69.49,2021-12-17 17:39:04.421875
401,-15.35,2021-12-17 17:39:04.437500
402,38.14,2021-12-17 17:39:04.453125
403,86.87,2021-12-17 17:39:04.468750
404,128.86,2021-12-17 17:39:04.484375
405,164.21,2021-12-17 17:39:04.500000
406,194.81,2021-12-17 17:39:04.515625
407,223.55,2021-12-17 17:39:04.531250
408,253.68,2021-12-17 17:39:04.546875
409,288.42,2021-12-17 17:39:04.562500
410,330.29,2021-12-17 17:39:04.578125
411,380.28,2021-12-17 17:39:04.593750
412,436.81,2021-12-17 17:39:04.609375
413,495.11,2021-12-17 17:39:04.625000
414,547.49,2021-12-17 17:39:04.640625
415,584.99,2021-12-17 17:39:04.656250
416,600.21,2021-12-17 17:39:04.671875
417,589.84,2021-12-17 17:39:04.687500
418,556.15,2021-12-17 17:39:04.703125
419,506.09,2021-12-17 17:39:04.718750
420,448.65,2021-12-17 17:39:04.734375
421,391.6,2021-12-17 17:39:04.750000
422,339.27,2021-12-17 17:39:04.765625
423,292.3,2021-12-17 17:39:04.781250
424,249.06,2021-12-17 17:39:04.796875
425,207.77,2021-12-17 17:39:04.812500
426,167.84,2021-12-17 17:39:04.828125
427,129.94,2021-12-17 17:39:04.843750
428,95.11,2021-12-17 17:39:04.859375
429,63.48,2021-12-17 17:39:04.875000
430,33.74,2021-12-17 17:39:04.890625
431,3.41,2021-12-17 17:39:04.906250
432,-30.03,2021-12-17 17:39:04.921875
433,-67.93,2021-12-17 17:39:04.937500
434,-109.78,2021-12-17 17:39:04.953125
435,-153.32,2021-12-17 17:39:04.968750
436,-195.68,2021-12-17 17:39:04.984375
437,-234.78,2021-12-17 17:39:05.000000
438,-270.23,2021-12-17 17:39:05.015625
439,-303.42,2021-12-17 17:39:05.031250
440,-336.66,2021-12-17 17:39:05.046875
441,-371.91,2021-12-17 17:39:05.062500
442,-409.97,2021-12-17 17:39:05.078125
443,-450.62,2021-12-17 17:39:05.093750
444,-493.61,2021-12-17 17:39:05.109375
445,-539.24,2021-12-17 17:39:05.125000
446,-587.85,2021-12-17 17:39:05.140625
447,-638.3,2021-12-17 17:39:05.156250
448,-686.41,2021-12-17 17:39:05.171875
449,-724.79,2021-12-17 17:39:05.187500
450,-744.81,2021-12-17 17:39:05.203125
451,-739.95,2021-12-17 17:39:05.218750
452,-708.87,2021-12-17 17:39:05.234375
453,-656.3,2021-12-17 17:39:05.250000
454,-591.27,2021-12-17 17:39:05.265625
455,-523.49,2021-12-17 17:39:05.281250
456,-459.99,2021-12-17 17:39:05.296875
457,-403.43,2021-12-17 17:39:05.312500
458,-352.78,2021-12-17 17:39:05.328125
459,-305.45,2021-12-17 17:39:05.343750
460,-259.34,2021-12-17 17:39:05.359375
461,-213.8,2021-12-17 17:39:05.375000
462,-169.28,2021-12-17 17:39:05.390625
463,-126.26,2021-12-17 17:39:05.406250
464,-84.41,2021-12-17 17:39:05.421875
465,-42.67,2021-12-17 17:39:05.437500
466,0.18,2021-12-17 17:39:05.453125
467,44.79,2021-12-17 17:39:05.468750
468,90.88,2021-12-17 17:39:05.484375
469,137.24,2021-12-17 17:39:05.500000
470,182.66,2021-12-17 17:39:05.515625
471,226.52,2021-12-17 17:39:05.531250
472,269.09,2021-12-17 17:39:05.546875
473,311.05,2021-12-17 17:39:05.562500
474,352.36,2021-12-17 17:39:05.578125
475,391.47,2021-12-17 17:39:05.593750
476,425.19,2021-12-17 17:39:05.609375
477,449.71,2021-12-17 17:39:05.625000
478,462.16,2021-12-17 17:39:05.640625
479,462.06,2021-12-17 17:39:05.656250
480,451.57,2021-12-17 17:39:05.671875
481,434.65,2021-12-17 17:39:05.687500
482,415.6,2021-12-17 17:39:05.703125
483,397.75,2021-12-17 17:39:05.718750
484,383.17,2021-12-17 17:39:05.734375
485,373.19,2021-12-17 17:39:05.750000
486,369.09,2021-12-17 17:39:05.765625
487,372.26,2021-12-17 17:39:05.781250
488,383.41,2021-12-17 17:39:05.796875
489,401.22,2021-12-17 17:39:05.812500
490,421.59,2021-12-17 17:39:05.828125
491,437.94,2021-12-17 17:39:05.843750
492,443.08,2021-12-17 17:39:05.859375
493,431.61,2021-12-17 17:39:05.875000
494,401.79,2021-12-17 17:39:05.890625
495,356.05,2021-12-17 17:39:05.906250
496,299.74,2021-12-17 17:39:05.921875
497,238.92,2021-12-17 17:39:05.937500
498,178.19,2021-12-17 17:39:05.953125
499,119.58,2021-12-17 17:39:05.968750
500,62.97,2021-12-17 17:39:05.984375
501,7.33,2021-12-17 17:39:06.000000
502,-47.74,2021-12-17 17:39:06.015625
503,-101.35,2021-12-17 17:39:06.031250
504,-151.76,2021-12-17 17:39:06.046875
505,-197.28,2021-12-17 17:39:06.062500
506,-237.38,2021-12-17 17:39:06.078125
507,-273.03,2021-12-17 17:39:06.093750
508,-306.31,2021-12-17 17:39:06.109375
509,-339.68,2021-12-17 17:39:06.125000
510,-375.39,2021-12-17 17:39:06.140625
511,-415.11,2021-12-17 17:39:06.156250
512,-459.9,2021-12-17 17:39:06.171875
513,-509.52,2021-12-17 17:39:06.187500
514,-561.55,2021-12-17 17:39:06.203125
515,-610.8,2021-12-17 17:39:06.218750
516,-649.8,2021-12-17 17:39:06.234375
517,-670.81,2021-12-17 17:39:06.250000
518,-668.65,2021-12-17 17:39:06.265625
519,-642.96,2021-12-17 17:39:06.281250
520,-598.54,2021-12-17 17:39:06.296875
521,-543.62,2021-12-17 17:39:06.312500
522,-486.66,2021-12-17 17:39:06.328125
523,-433.44,2021-12-17 17:39:06.343750
524,-385.97,2021-12-17 17:39:06.359375
525,-343.21,2021-12-17 17:39:06.375000
526,-302.99,2021-12-17 17:39:06.390625
527,-263.58,2021-12-17 17:39:06.406250
528,-224.25,2021-12-17 17:39:06.421875
529,-184.65,2021-12-17 17:39:06.437500
530,-144.17,2021-12-17 17:39:06.453125
531,-101.75,2021-12-17 17:39:06.468750
532,-56.22,2021-12-17 17:39:06.484375
533,-7.17,2021-12-17 17:39:06.500000
534,44.93,2021-12-17 17:39:06.515625
535,99.24,2021-12-17 17:39:06.531250
536,154.88,2021-12-17 17:39:06.546875
537,211.39,2021-12-17 17:39:06.562500
538,268.14,2021-12-17 17:39:06.578125
539,323.32,2021-12-17 17:39:06.593750
540,373.6,2021-12-17 17:39:06.609375
541,414.6,2021-12-17 17:39:06.625000
542,442.31,2021-12-17 17:39:06.640625
543,454.65,2021-12-17 17:39:06.656250
544,452.07,2021-12-17 17:39:06.671875
545,437.08,2021-12-17 17:39:06.687500
546,413.2,2021-12-17 17:39:06.703125
547,384.03,2021-12-17 17:39:06.718750
548,352.89,2021-12-17 17:39:06.734375
549,322.97,2021-12-17 17:39:06.750000
550,297.3,2021-12-17 17:39:06.765625
551,277.94,2021-12-17 17:39:06.781250
552,265.05,2021-12-17 17:39:06.796875
553,256.3,2021-12-17 17:39:06.812500
554,247.51,2021-12-17 17:39:06.828125
555,234.93,2021-12-17 17:39:06.843750
556,217.43,2021-12-17 17:39:06.859375
557,197.41,2021-12-17 17:39:06.875000
558,179.68,2021-12-17 17:39:06.890625
559,168.88,2021-12-17 17:39:06.906250
560,167.07,2021-12-17 17:39:06.921875
561,172.81,2021-12-17 17:39:06.937500
562,181.97,2021-12-17 17:39:06.953125
563,189.65,2021-12-17 17:39:06.968750
564,192.18,2021-12-17 17:39:06.984375
565,187.97,2021-12-17 17:39:07.000000
566,177.24,2021-12-17 17:39:07.015625
567,161.03,2021-12-17 17:39:07.031250
568,140.16,2021-12-17 17:39:07.046875
569,114.84,2021-12-17 17:39:07.062500
570,85.33,2021-12-17 17:39:07.078125
571,52.79,2021-12-17 17:39:07.093750
572,20.0,2021-12-17 17:39:07.109375
573,-9.02,2021-12-17 17:39:07.125000
574,-30.24,2021-12-17 17:39:07.140625
575,-41.28,2021-12-17 17:39:07.156250
576,-42.35,2021-12-17 17:39:07.171875
577,-36.29,2021-12-17 17:39:07.187500
578,-27.4,2021-12-17 17:39:07.203125
579,-19.6,2021-12-17 17:39:07.218750
580,-14.99,2021-12-17 17:39:07.234375
581,-13.55,2021-12-17 17:39:07.250000
582,-13.92,2021-12-17 17:39:07.265625
583,-14.77,2021-12-17 17:39:07.281250
584,-15.85,2021-12-17 17:39:07.296875
585,-17.92,2021-12-17 17:39:07.312500
586,-22.14,2021-12-17 17:39:07.328125
587,-28.76,2021-12-17 17:39:07.343750
588,-36.63,2021-12-17 17:39:07.359375
589,-43.35,2021-12-17 17:39:07.375000
590,-46.43,2021-12-17 17:39:07.390625
591,-44.62,2021-12-17 17:39:07.406250
592,-38.69,2021-12-17 17:39:07.421875
593,-31.32,2021-12-17 17:39:07.437500
594,-25.83,2021-12-17 17:39:07.453125
595,-24.67,2021-12-17 17:39:07.468750
596,-28.19,2021-12-17 17:39:07.484375
597,-34.58,2021-12-17 17:39:07.500000
598,-40.65,2021-12-17 17:39:07.515625
599,-42.96,2021-12-17 17:39:07.531250
600,-38.96,2021-12-17 17:39:07.546875
601,-27.64,2021-12-17 17:39:07.562500
602,-9.73,2021-12-17 17:39:07.578125
603,12.26,2021-12-17 17:39:07.593750
604,34.54,2021-12-17 17:39:07.609375
605,52.98,2021-12-17 17:39:07.625000
606,64.16,2021-12-17 17:39:07.640625
607,66.27,2021-12-17 17:39:07.656250
608,59.69,2021-12-17 17:39:07.671875
609,46.38,2021-12-17 17:39:07.687500
610,29.21,2021-12-17 17:39:07.703125
611,11.33,2021-12-17 17:39:07.718750
612,-4.01,2021-12-17 17:39:07.734375
613,-13.6,2021-12-17 17:39:07.750000
614,-14.51,2021-12-17 17:39:07.765625
615,-5.06,2021-12-17 17:39:07.781250
616,14.35,2021-12-17 17:39:07.796875
617,40.92,2021-12-17 17:39:07.812500
618,69.82,2021-12-17 17:39:07.828125
619,95.78,2021-12-17 17:39:07.843750
620,114.5,2021-12-17 17:39:07.859375
621,123.84,2021-12-17 17:39:07.875000
