;HR;BR;Posture;Activity
08:42:15.435;99;21.1;-1;0.26
08:42:16.435;99;21.1;-1;0.27
08:42:17.435;99;22.1;-2;0.24
08:42:18.435;100;22.1;-2;0.23
08:42:19.435;100;23.0;-1;0.25
08:42:20.435;100;23.0;-1;0.23
08:42:21.435;100;21.6;-1;0.26
08:42:22.435;100;21.6;-2;0.23
08:42:23.435;101;20.3;-1;0.23
08:42:24.435;101;20.3;-1;0.24
08:42:25.435;102;19.2;-2;0.23
08:42:26.435;105;19.2;-2;0.23
08:42:27.435;105;18.5;-4;0.36
08:42:28.435;104;18.5;-2;0.28
08:42:29.435;103;18.2;-3;0.63
08:42:30.435;103;18.2;-3;0.20
08:42:31.435;102;17.9;-2;0.22
08:42:32.435;103;17.9;-2;0.24
08:42:33.435;104;17.6;-3;0.26
08:42:34.435;104;17.6;-4;0.23
08:42:35.435;104;17.5;-4;0.22
08:42:36.435;104;17.5;-5;0.18
08:42:37.435;104;17.4;-4;0.20
08:42:38.435;102;17.4;-3;0.20
08:42:39.435;102;17.5;-8;0.29
08:42:40.435;101;17.5;-11;0.25
08:42:41.435;98;15.7;-4;0.24
08:42:42.435;100;15.7;-2;0.24
08:42:43.435;101;14.1;-3;0.23
08:42:44.435;103;14.1;-4;0.22
08:42:45.435;106;12.7;-4;0.23
08:42:46.435;104;12.7;-4;0.20
08:42:47.435;101;11.8;-4;0.22
08:42:48.435;100;11.8;-6;0.20
08:42:49.435;102;11.2;-6;0.18
08:42:50.435;101;11.2;-7;0.15
08:42:51.435;98;11.3;-5;0.17
08:42:52.435;100;11.3;-6;0.15
08:42:53.435;100;11.9;-4;0.16
08:42:54.435;101;11.9;-5;0.14
08:42:55.435;101;12.8;-4;0.13
08:42:56.435;100;12.8;-5;0.12
08:42:57.435;100;14.0;-5;0.07
08:42:58.435;96;14.0;-5;0.02
08:42:59.435;95;15.0;-5;0.02
08:43:00.435;93;15.0;-6;0.03
08:43:01.435;90;16.2;-6;0.03
08:43:02.435;92;16.2;-6;0.02
08:43:03.435;94;17.5;-6;0.02
08:43:04.435;96;17.5;-7;0.02
08:43:05.435;100;18.8;-7;0.02
08:43:06.435;101;18.8;-7;0.03
08:43:07.435;101;19.9;-7;0.02
08:43:08.435;99;19.9;-7;0.02
08:43:09.435;93;20.6;-7;0.03
08:43:10.435;87;20.6;-8;0.05
08:43:11.435;84;20.6;-8;0.02
08:43:12.435;84;20.6;-8;0.02
08:43:13.435;85;20.4;-8;0.04
08:43:14.435;86;20.4;-7;0.09
08:43:15.435;89;19.9;-6;0.06
08:43:16.435;94;19.9;-7;0.04
08:43:17.435;92;19.1;-7;0.03
08:43:18.435;90;19.1;-8;0.06
08:43:19.435;89;19.0;-4;0.15
08:43:20.435;92;19.0;-5;0.16
08:43:21.435;95;18.9;-4;0.16
08:43:22.435;95;18.9;-3;0.17
08:43:23.435;95;18.5;-4;0.15
08:43:24.435;92;18.5;-4;0.13
08:43:25.435;91;18.8;-4;0.09
08:43:26.435;86;18.8;-3;0.03
08:43:27.435;84;19.0;-3;0.02
08:43:28.435;82;19.0;-4;0.01
08:43:29.435;79;19.2;-4;0.02
08:43:30.435;77;19.2;-4;0.02
08:43:31.435;77;19.7;-4;0.02
08:43:32.435;77;19.7;-4;0.02
08:43:33.435;77;20.1;-4;0.01
08:43:34.435;78;20.1;-4;0.02
08:43:35.435;80;20.8;-4;0.02
08:43:36.435;80;20.8;-4;0.02
08:43:37.435;80;21.7;-5;0.03
08:43:38.435;81;21.7;-6;0.04
08:43:39.435;79;22.2;-5;0.07
08:43:40.435;78;22.2;-6;0.06
08:43:41.435;76;23.0;-7;0.04
08:43:42.435;76;23.0;-8;0.02
08:43:43.435;78;24.0;-8;0.02
08:43:44.435;80;24.0;-8;0.02
08:43:45.435;80;24.9;-8;0.02
08:43:46.435;80;24.9;-8;0.02
08:43:47.435;77;25.7;-8;0.01
08:43:48.435;74;25.7;-8;0.01
08:43:49.435;74;26.4;-8;0.02
08:43:50.435;73;26.4;-8;0.02
08:43:51.435;72;27.1;-8;0.02
08:43:52.435;73;27.1;-8;0.01
08:43:53.435;73;27.7;-8;0.02
08:43:54.435;75;27.7;-8;0.04
08:43:55.435;75;28.2;-7;0.05
08:43:56.435;75;28.2;-4;0.05
08:43:57.435;78;28.4;-4;0.04
08:43:58.435;79;28.4;-4;0.02
08:43:59.435;80;28.3;-4;0.02
08:44:00.435;77;28.3;-5;0.02
08:44:01.435;75;27.5;-6;0.02
08:44:02.435;74;27.5;-6;0.02
08:44:03.435;72;26.6;-7;0.02
08:44:04.435;72;26.6;-6;0.02
08:44:05.435;74;25.4;-6;0.02
08:44:06.435;77;25.4;-6;0.02
08:44:07.435;79;24.7;-7;0.02
08:44:08.435;80;24.7;-6;0.04
08:44:09.435;80;24.3;-7;0.02
08:44:10.435;80;24.3;-6;0.03
08:44:11.435;80;23.7;-7;0.04
08:44:12.435;81;23.7;-7;0.03
08:44:13.435;80;23.1;-7;0.02
08:44:14.435;81;23.1;-7;0.03
08:44:15.435;82;22.6;-8;0.02
08:44:16.435;83;22.6;-8;0.02
08:44:17.435;83;22.2;-8;0.02
08:44:18.435;83;22.2;-8;0.01
08:44:19.435;85;21.8;-8;0.01
08:44:20.435;85;21.8;-8;0.02
08:44:21.435;82;21.4;-8;0.02
08:44:22.435;78;21.4;-8;0.01
08:44:23.435;74;21.4;-8;0.04
08:44:24.435;74;21.4;-8;0.03
08:44:25.435;76;21.3;-8;0.07
08:44:26.435;82;21.3;-10;0.03
08:44:27.435;86;20.7;-11;0.03
08:44:28.435;93;20.7;-11;0.02
08:44:29.435;96;19.8;-10;0.04
08:44:30.435;96;19.8;-8;0.04
08:44:31.435;92;19.4;-8;0.03
08:44:32.435;93;19.4;-8;0.02
08:44:33.435;97;18.6;-8;0.02
08:44:34.435;99;18.6;-8;0.02
08:44:35.435;98;17.7;-8;0.02
08:44:36.435;94;17.7;-10;0.01
08:44:37.435;90;17.1;-10;0.08
08:44:38.435;88;17.1;-11;0.05
08:44:39.435;88;16.6;-8;0.11
08:44:40.435;89;16.6;-7;0.06
08:44:41.435;91;16.4;-7;0.07
08:44:42.435;95;16.4;-7;0.05
08:44:43.435;99;16.0;-7;0.03
08:44:44.435;102;16.0;-7;0.02
08:44:45.435;102;15.3;-7;0.02
08:44:46.435;100;15.3;-7;0.02
08:44:47.435;98;14.7;-6;0.02
08:44:48.435;96;14.7;-7;0.07
08:44:49.435;94;14.4;-8;0.14
08:44:50.435;92;14.4;-7;0.16
08:44:51.435;91;13.9;-5;0.12
08:44:52.435;91;13.9;-5;0.08
08:44:53.435;91;13.4;-6;0.07
08:44:54.435;90;13.4;-7;0.05
08:44:55.435;88;13.0;-7;0.03
08:44:56.435;84;13.0;-7;0.02
08:44:57.435;81;12.3;-7;0.05
08:44:58.435;82;12.3;-6;0.13
08:44:59.435;86;12.0;-4;0.15
08:45:00.435;91;12.0;-4;0.15
08:45:01.435;95;11.7;-4;0.12
08:45:02.435;97;11.7;-2;0.13
08:45:03.435;95;11.7;-2;0.10
08:45:04.435;96;11.7;2;0.11
08:45:05.435;94;12.0;7;0.13
08:45:06.435;93;12.0;5;0.09
08:45:07.435;95;12.3;2;0.13
08:45:08.435;94;12.3;-4;0.10
08:45:09.435;91;12.3;-5;0.07
08:45:10.435;89;12.3;-5;0.08
08:45:11.435;92;12.3;-8;0.09
08:45:12.435;92;12.3;-4;0.13
08:45:13.435;91;12.5;-3;0.21
08:45:14.435;93;12.5;-7;0.17
08:45:15.435;90;12.8;-3;0.13
08:45:16.435;86;12.8;-1;0.07
08:45:17.435;86;13.0;-1;0.03
08:45:18.435;84;13.0;-1;0.03
08:45:19.435;80;13.2;-1;0.02
08:45:20.435;76;13.2;-2;0.02
08:45:21.435;77;13.1;-2;0.01
08:45:22.435;80;13.1;-2;0.03
08:45:23.435;85;13.0;-4;0.20
08:45:24.435;87;13.0;-2;0.16
08:45:25.435;86;12.6;-4;0.11
08:45:26.435;82;12.6;-7;0.10
08:45:27.435;79;12.2;-7;0.09
08:45:28.435;77;12.2;-4;0.09
08:45:29.435;76;12.2;-3;0.05
08:45:30.435;75;12.2;-4;0.06
08:45:31.435;74;12.2;-4;0.03
08:45:32.435;76;12.2;-4;0.06
08:45:33.435;77;12.2;-3;0.04
08:45:34.435;79;12.2;-3;0.02
08:45:35.435;79;12.2;-3;0.02
08:45:36.435;77;12.2;-3;0.02
08:45:37.435;76;12.5;-3;0.02
08:45:38.435;75;12.5;-3;0.02
08:45:39.435;77;12.7;-4;0.02
08:45:40.435;77;12.7;-4;0.02
08:45:41.435;77;12.9;-4;0.02
08:45:42.435;79;12.9;-4;0.06
08:45:43.435;80;13.1;-3;0.09
08:45:44.435;82;13.1;-4;0.05
08:45:45.435;82;13.3;-4;0.02
08:45:46.435;81;13.3;-5;0.02
08:45:47.435;78;13.5;-6;0.02
08:45:48.435;77;13.5;-6;0.02
08:45:49.435;75;13.6;-7;0.02
08:45:50.435;73;13.6;-6;0.01
08:45:51.435;76;14.4;-6;0.01
08:45:52.435;75;14.4;-6;0.02
08:45:53.435;75;14.7;-6;0.02
08:45:54.435;76;14.7;-7;0.02
08:45:55.435;76;15.3;-6;0.02
08:45:56.435;76;15.3;-4;0.07
08:45:57.435;78;15.6;-4;0.04
08:45:58.435;81;15.6;-4;0.07
08:45:59.435;82;15.5;-4;0.06
08:46:00.435;82;15.5;-4;0.07
08:46:01.435;82;15.8;-3;0.05
08:46:02.435;84;15.8;-5;0.09
08:46:03.435;90;15.7;-4;0.08
08:46:04.435;91;15.7;-3;0.05
08:46:05.435;90;15.9;-4;0.08
08:46:06.435;88;15.9;-4;0.10
08:46:07.435;86;16.4;-4;0.03
08:46:08.435;85;16.4;-4;0.03
08:46:09.435;83;16.9;-5;0.03
08:46:10.435;79;16.9;-6;0.03
08:46:11.435;77;16.7;-7;0.08
08:46:12.435;75;16.7;-4;0.13
08:46:13.435;74;16.5;-4;0.09
08:46:14.435;73;16.5;-4;0.10
08:46:15.435;72;17.0;-3;0.08
08:46:16.435;74;17.0;-3;0.10
08:46:17.435;76;17.4;-4;0.06
08:46:18.435;76;17.4;-6;0.05
08:46:19.435;75;18.0;-5;0.07
08:46:20.435;75;18.0;-5;0.04
08:46:21.435;77;18.3;-5;0.04
08:46:22.435;77;18.3;-4;0.04
08:46:23.435;76;18.9;-4;0.03
08:46:24.435;78;18.9;-4;0.02
08:46:25.435;81;19.7;-5;0.02
08:46:26.435;82;19.7;-5;0.03
08:46:27.435;79;20.1;-6;0.02
08:46:28.435;75;20.1;-7;0.02
08:46:29.435;73;20.5;-7;0.01
08:46:30.435;72;20.5;-6;0.02
08:46:31.435;77;21.2;-5;0.02
08:46:32.435;78;21.2;-5;0.02
08:46:33.435;79;21.7;-5;0.02
08:46:34.435;76;21.7;-5;0.02
08:46:35.435;75;21.4;-4;0.06
08:46:36.435;75;21.4;-6;0.06
08:46:37.435;75;21.0;-7;0.05
08:46:38.435;77;21.0;-5;0.07
08:46:39.435;77;21.0;-4;0.05
08:46:40.435;78;21.0;-5;0.05
08:46:41.435;79;21.0;-6;0.03
08:46:42.435;77;21.0;-7;0.03
08:46:43.435;77;20.7;-7;0.03
08:46:44.435;76;20.7;-5;0.06
08:46:45.435;75;20.2;-4;0.07
08:46:46.435;73;20.2;-4;0.03
08:46:47.435;74;19.7;-4;0.04
08:46:48.435;75;19.7;-4;0.05
08:46:49.435;75;18.9;-4;0.07
08:46:50.435;76;18.9;-4;0.05
08:46:51.435;78;18.2;-5;0.05
08:46:52.435;80;18.2;-4;0.03
08:46:53.435;78;17.9;-4;0.03
08:46:54.435;79;17.9;-4;0.04
08:46:55.435;80;17.9;-5;0.04
08:46:56.435;79;17.9;-6;0.02
08:46:57.435;78;18.2;-6;0.02
08:46:58.435;77;18.2;-4;0.06
08:46:59.435;76;18.2;-5;0.07
08:47:00.435;79;18.2;-5;0.04
08:47:01.435;80;18.5;-4;0.06
08:47:02.435;79;18.5;-4;0.02
08:47:03.435;78;19.0;-4;0.02
08:47:04.435;74;19.0;-4;0.01
08:47:05.435;69;19.2;-4;0.02
08:47:06.435;66;19.2;-5;0.02
08:47:07.435;66;19.7;-5;0.03
08:47:08.435;69;19.7;-5;0.05
08:47:09.435;71;20.4;-5;0.07
08:47:10.435;74;20.4;-6;0.03
08:47:11.435;76;20.8;-7;0.02
08:47:12.435;76;20.8;-7;0.02
08:47:13.435;76;21.4;-7;0.02
08:47:14.435;76;21.4;-7;0.01
08:47:15.435;77;21.6;-5;0.04
08:47:16.435;80;21.6;-4;0.09
08:47:17.435;81;21.9;-4;0.03
08:47:18.435;80;21.9;-7;0.05
08:47:19.435;79;21.8;-7;0.02
08:47:20.435;79;21.8;-6;0.03
08:47:21.435;79;21.7;-6;0.01
08:47:22.435;81;21.7;-6;0.02
08:47:23.435;81;21.7;-6;0.03
08:47:24.435;80;21.7;-6;0.07
08:47:25.435;77;21.9;-4;0.10
08:47:26.435;78;21.9;-4;0.07
08:47:27.435;80;22.1;-4;0.08
08:47:28.435;82;22.1;-4;0.04
08:47:29.435;83;22.0;-4;0.02
08:47:30.435;82;22.0;-4;0.06
08:47:31.435;79;21.9;-3;0.08
08:47:32.435;78;21.9;-2;0.04
08:47:33.435;76;21.5;-3;0.05
08:47:34.435;75;21.5;-3;0.02
08:47:35.435;73;21.2;-3;0.03
08:47:36.435;74;21.2;-4;0.02
08:47:37.435;75;20.9;-4;0.02
08:47:38.435;78;20.9;-4;0.02
08:47:39.435;77;20.9;-4;0.02
08:47:40.435;78;20.9;-4;0.02
08:47:41.435;78;20.9;-3;0.06
08:47:42.435;78;20.9;-4;0.06
08:47:43.435;78;20.9;-4;0.04
08:47:44.435;77;20.9;-4;0.06
08:47:45.435;76;20.9;-4;0.03
08:47:46.435;75;20.9;-4;0.02
08:47:47.435;73;20.6;-4;0.03
08:47:48.435;73;20.6;-4;0.03
08:47:49.435;73;20.9;-4;0.02
08:47:50.435;71;20.9;-3;0.03
08:47:51.435;74;21.5;-3;0.02
08:47:52.435;75;21.5;-3;0.02
08:47:53.435;77;21.8;-3;0.02
08:47:54.435;77;21.8;-3;0.02
08:47:55.435;76;22.3;-3;0.02
08:47:56.435;76;22.3;-3;0.02
08:47:57.435;75;22.8;-4;0.03
08:47:58.435;74;22.8;-3;0.06
08:47:59.435;75;22.9;-4;0.07
08:48:00.435;78;22.9;-5;0.05
08:48:01.435;80;22.7;-6;0.03
08:48:02.435;81;22.7;-1;0.15
08:48:03.435;81;22.5;-2;0.09
08:48:04.435;80;22.5;-4;0.04
08:48:05.435;77;22.4;-3;0.09
08:48:06.435;75;22.4;-2;0.03
08:48:07.435;74;22.3;-3;0.02
08:48:08.435;74;22.3;-4;0.05
08:48:09.435;73;21.8;-4;0.10
08:48:10.435;74;21.8;-2;0.09
08:48:11.435;74;21.5;-2;0.12
08:48:12.435;77;21.5;-4;0.05
08:48:13.435;77;21.1;-5;0.06
08:48:14.435;78;21.1;-2;0.13
08:48:15.435;80;20.8;-4;0.08
08:48:16.435;80;20.8;-3;0.10
08:48:17.435;81;20.8;-3;0.18
08:48:18.435;81;20.8;-3;0.14
08:48:19.435;81;20.8;-2;0.14
08:48:20.435;81;20.8;-5;0.10
08:48:21.435;79;21.1;-3;0.13
08:48:22.435;77;21.1;5;0.34
08:48:23.435;77;21.1;-7;0.17
08:48:24.435;78;21.1;-2;0.20
08:48:25.435;83;21.1;-3;0.18
08:48:26.435;88;21.1;-3;0.20
08:48:27.435;93;21.0;-4;0.22
08:48:28.435;97;21.0;-4;0.25
08:48:29.435;98;20.6;-4;0.22
08:48:30.435;95;20.6;-4;0.23
08:48:31.435;93;20.2;-4;0.21
08:48:32.435;93;20.2;-5;0.23
08:48:33.435;96;19.9;-5;0.19
08:48:34.435;99;19.9;-4;0.23
08:48:35.435;102;18.2;-4;0.21
08:48:36.435;104;18.2;-5;0.20
08:48:37.435;105;16.7;-4;0.21
08:48:38.435;105;16.7;-5;0.20
08:48:39.435;105;15.9;-7;0.16
08:48:40.435;104;15.9;-5;0.20
08:48:41.435;104;15.8;-4;0.19
08:48:42.435;103;15.8;-4;0.15
08:48:43.435;99;15.8;-4;0.16
08:48:44.435;98;15.8;-2;0.19
08:48:45.435;97;16.3;-3;0.17
08:48:46.435;98;16.3;-4;0.20
08:48:47.435;98;17.3;-4;0.18
08:48:48.435;98;17.3;-4;0.15
08:48:49.435;100;18.3;-4;0.15
08:48:50.435;101;18.3;-4;0.15
08:48:51.435;97;19.5;-3;0.16
08:48:52.435;98;19.5;-3;0.16
08:48:53.435;98;21.1;-4;0.16
08:48:54.435;99;21.1;-3;0.15
08:48:55.435;101;22.6;-4;0.33
08:48:56.435;103;22.6;-7;0.35
08:48:57.435;105;24.6;-8;0.36
08:48:58.435;105;24.6;-7;0.31
08:48:59.435;103;26.4;-6;0.31
08:49:00.435;102;26.4;-4;0.35
08:49:01.435;102;28.1;-5;0.33
08:49:02.435;102;28.1;-4;0.22
08:49:03.435;100;29.5;-6;0.23
08:49:04.435;99;29.5;-5;0.22
08:49:05.435;99;30.7;-4;0.18
08:49:06.435;100;30.7;-6;0.24
08:49:07.435;101;31.7;-7;0.33
08:49:08.435;102;31.7;-7;0.28
08:49:09.435;103;32.7;-8;0.31
08:49:10.435;103;32.7;-9;0.36
08:49:11.435;105;33.5;-9;0.29
08:49:12.435;107;33.5;-8;0.38
08:49:13.435;108;34.2;-8;0.33
08:49:14.435;108;34.2;-8;0.21
08:49:15.435;107;34.7;-7;0.16
08:49:16.435;108;34.7;-8;0.18
08:49:17.435;109;35.0;-6;0.22
08:49:18.435;109;35.0;-4;0.24
08:49:19.435;107;35.3;-4;0.23
08:49:20.435;106;35.3;-4;0.20
08:49:21.435;106;35.6;-4;0.23
08:49:22.435;104;35.6;-4;0.22
08:49:23.435;104;35.8;-4;0.22
08:49:24.435;104;35.8;-4;0.19
08:49:25.435;104;36.0;-4;0.18
08:49:26.435;105;36.0;-4;0.23
08:49:27.435;104;32.7;-4;0.22
08:49:28.435;104;32.7;-4;0.22
08:49:29.435;104;29.7;-4;0.20
08:49:30.435;104;29.7;-4;0.14
08:49:31.435;102;27.1;-5;0.20
08:49:32.435;100;27.1;-4;0.21
08:49:33.435;101;24.7;-3;0.25
08:49:34.435;102;24.7;-4;0.22
08:49:35.435;102;22.8;-4;0.24
08:49:36.435;103;22.8;-4;0.21
08:49:37.435;102;21.4;-4;0.23
08:49:38.435;101;21.4;-4;0.19
08:49:39.435;100;20.5;-5;0.12
08:49:40.435;98;20.5;-3;0.08
08:49:41.435;95;19.9;-6;0.09
08:49:42.435;93;19.9;-7;0.12
08:49:43.435;94;20.0;4;0.23
08:49:44.435;95;20.0;7;0.11
08:49:45.435;93;20.4;5;0.16
08:49:46.435;90;20.4;3;0.24
08:49:47.435;89;20.8;4;0.17
08:49:48.435;93;20.8;-2;0.20
08:49:49.435;97;21.4;-2;0.25
08:49:50.435;101;21.4;-2;0.21
08:49:51.435;103;22.6;-2;0.21
08:49:52.435;104;22.6;-4;0.21
08:49:53.435;103;24.2;-4;0.23
08:49:54.435;100;24.2;-5;0.23
08:49:55.435;100;25.4;-6;0.15
08:49:56.435;99;25.4;-4;0.20
08:49:57.435;97;26.4;-7;0.33
08:49:58.435;95;26.4;-6;0.32
08:49:59.435;97;27.7;-6;0.22
08:50:00.435;97;27.7;-4;0.27
08:50:01.435;97;28.8;-4;0.28
08:50:02.435;99;28.8;-4;0.25
08:50:03.435;99;29.8;-4;0.26
08:50:04.435;101;29.8;-4;0.28
08:50:05.435;101;30.6;-4;0.23
08:50:06.435;102;30.6;-5;0.25
08:50:07.435;104;30.2;-7;0.25
08:50:08.435;106;30.2;-4;0.23
